index;original;replace;excludeTerms;excludePaths
1;Red Ribbon;Red Ribbon;;
4;Angel Ribbon;Angel Ribbon;;
8;Rose Bow;Rose Bow;;
10;Grey Tail;Grey Tail;;
12;Guil Tail;Guil Tail;;
15;Baste Tail;Baste Tail;;
16;Wanya Tail;Wanya Tail;;
18;Rena Tail;Rena Tail;;
19;Top Hat;Top Hat;;
25;Soul Hat;Soul Hat;;
26;Santa Hat;Santa Hat;;
27;Phantom Turban;Phantom Turban;;
28;Tao Eboshi;Tao Eboshi;;
29;Golden Crown;Golden Crown;;
30;Silver Tiara;Silver Tiara;;
31;Wizard Hat;Wizard Hat;;
32;Burger Hat;Burger Hat;;
33;Chef Hat;Chef Hat;;
35;Antyla Ears;Andira Ears;;
37;Guil Ears;Guil Ears;;
38;Baste Ears;Baste Ears;;
39;Wanya Ears;Wanya Ears;;
41;Rena Ears;Rena Ears;;
43;Grey Horn;Grey Horn;;
44;GeoGrey Horn;GeoGrey Horn;;
47;Reindeer Horns;Reindeer Horns;;
48;Ete Shades;Ete Shades;;
50;Joe's Glasses;Joe's Glasses;;
54;Bike Goggles;Bike Goggles;;
55;Tai's Goggles;Taichi's Goggles;;
56;Davis' Goggles;Daisuke's Goggles;;
57;Takato's Goggles;Takato's Goggles;;
58;Takuya's Goggles;Takuya's Goggles;;
59;Taiki's Goggles;Taiki's Goggles;;
61;Doruru Drill;Doruru Drill;;
62;Red Scarf;Red Scarf;;
63;Bandana;Bandana;;
66;Rena Scarf;Rena Scarf;;
68;Aegis;Aegis;;
73;Red Nose;Red Nose;;
74;Moni Satchel;Moni Satchel;;
75;Red Satchel;Red Satchel;;
76;Black Satchel;Black Satchel;;
77;Forehead Axe;Forehead Axe;;
79;Shinobi Shuriken;Shinobi Shuriken;;
83;Floating Swim Ring;Floating Swim Ring;;
84;Strawberry Doughnut;Strawberry Doughnut;;
85;Yellow Poo;Yellow Poo;;
87;Kingpin;Kingpin;;
89;Boko Belly Band;Boko Belly Band;;
90;Angel Wings;Angel Wings;;
91;Bat Wings;Bat Wings;;
92;Tai's Digivice;Taichi's Digivice;;
93;Pirate Hat;Pirate Hat;;
94;V-Dragon Wings;V-Dragon Wings;;
95;V-Dragon Mark;V-Dragon Mark;;
97;V-Dragon Horn;V-Dragon Horn;;
98;Pirate Gun;Pirate Gun;;
99;Jolly Roger;Jolly Roger;;
100;Golden Skull;Golden Skull;;
101;Rouge Ribbon;Rouge Ribbon;;
102;Swirl Glasses;Swirl Glasses;;
103;Eye Patch;Eye Patch;;
104;Myotis Mask;Vam Mask;;
105;Medical Eye Patch;Medical Eye Patch;;
106;Black Cloak;Black Cloak;;
107;Red Cloak;Red Cloak;;
108;King's Crown;King's Crown;;
109;Shakkou Coronet;Shakkou Coronet;;
110;T.K.'s Cap;Takeru's Cap;;
111;Graduate Cap;Graduate Cap;;
112;Puppet Cap;Pinocchi Cap;;
113;Samurai Helmet;Samurai Helmet;;
114;Mohican Hair;Mohican Hair;;
115;Regent Head;Regent Head;;
116;Mush Hat;Mush Hat;;
117;Bears Cap;Bears Cap;;
118;Digimon World Cap;Digimon World Cap;;
119;Big Cap;Big Cap;;
120;Safety Helmet;Safety Helmet;;
121;Teacher Beret;Teacher Beret;;
122;Student Cap;Student Cap;;
123;Straw Hat;Straw Hat;;
124;Jester Hat;Jester Hat;;
125;Afro Head;Afro Head;;
126;Dandy Hat;Dandy Hat;;
127;Olympia Sword;Olympia Sword;;
128;MacField Mic;MacField Mic;;
129;Wizard Rod;Wizard Rod;;
130;Elder's Rod;Elder's Rod;;
131;Thor's Hammer;Thor's Hammer;;
132;Shinobi Blade;Shinobi Blade;;
133;Party Pumpkin;Party Pumpkin;;
134;Xros Loader;Xros Loader;;
135;Plant Decoration;Plant Decoration;;
136;Secret Scroll;Secret Scroll;;
137;White Swan;White Swan;;
138;Intravenous Drip;Intravenous Drip;;
139;Star Emblem;Star Emblem;;
140;Angel Halo;Angel Halo;;
141;Lollipop;Lollipop;;
142;Genie's Waistband;Genie's Waistband;;
143;Ballet Skirt;Ballet Skirt;;
144;Toilet Paper Roll;Toilet Paper Roll;;
145;Rubber Plunger;Rubber Plunger;;
146;Bandage;Bandage;;
147;Digimon Mini;Digimon Mini;;
148;Sashimono Banner;Sashimono Banner;;
149;Fishing Rod;Fishing Rod;;
150;Old Camera;Old Camera;;
151;Champion Belt;Champion Belt;;
152;Kiss Mark;Kiss Mark;;
153;Face Mask;Face Mask;;
154;Patterned Bandage;Patterned Bandage;;
155;Banner Flag;Banner Flag;;
156;Grey Backhorn;Grey Backhorn;;
157;Geo Backhorn;Geo Backhorn;;
158;White Tie;White Tie;;
159;Purple Scarf;Purple Scarf;;
160;Gas Mask;Gas Mask;;
161;Hockey Mask;Hockey Mask;;
163;Mjolnir;Mjolnir;;
164;Ouryuken;Ouryuken;;
165;Sphinx Wings;Sphinx Wings;;
166;Ancient Volcano;Ancient Volcano;;
167;Infinity Cannon;Infinity Cannon;;
168;Hyper Infinity Cannon;Hyper Infinity Cannon;;
169;Dera Bush;Delu Bush;;
170;Shogun Horn;Shogun Horn;;
171;Banana Hair;Banana Hair;;
172;Shout Headphones;Shout Headphones;;
173;Pegasus Mix Mori;Pegasus Mix Mori;;
