index;original;replace;excludeTerms;excludePaths
3;Digimon Sovereigns;Holy Beasts;;
10;Ebonwumon's Followers;Xuanwumon's Followers;;
11;Azulongmon's Followers;Qinglongmon's Followers;;
16;Biyomon Line;Piyomon Line;;
21;Gatomon Line;Tailmon Line;;
22;Veemon Line;V-mon Line;;
23;Armadillomon Line;Armadimon Line;;
26;Digi-Egg of Courage;Digimental of Courage;;
27;Digi-Egg of Friendship;Digimental of Friendship;;
28;Digi-Egg of Love;Digimental of Love;;
29;Digi-Egg of Knowledge;Digimental of Knowledge;;
30;Digi-Egg of Purity;Digimental of Purity;;
31;Digi-Egg of Sincerity;Digimental of Sincerity;;
32;Digi-Egg of Hope;Digimental of Hope;;
33;Digi-Egg of Light;Digimental of Light;;
34;Digi-Egg of Kindness;Digimental of Kindness;;
35;Digi-Egg of Miracles;Digimental of Miracles;;
36;Digi-Egg of Fate;Digimental of Fate;;
41;BeoWolfmon Line;Beowolfmon Line;;
54;Veedramon Line;V-dramon Line;;
63;DNA Digivolutions 1;Jogress Evolutions 1;;
64;DNA Digivolutions 2;Jogress Evolutions 2;;
65;DNA Digivolutions 3;Jogress Evolutions 3;;
66;DNA Digivolutions 4;Jogress Evolutions 4;;
67;DNA Digivolutions 5;Jogress Evolutions 5;;
68;Kimera Data;Chimera Data;;
73;Tyranno Brothers;Tyrano Brothers;;
91;Tricolour Growlmon;Tricolour Growmon;;
92;Tricolour WarGrowlmon;Tricolour MegaloGrowmon;;
