index;original;replace;excludeTerms;excludePaths
3;Jarimon;Jyarimon;;
12;Candlemon;Candmon;;
13;Chuumon;Tyumon;;
14;Tsukaimon;Tukaimon;;
15;Agumon;Agumon;;
23;DemiDevimon;PicoDevimon;;
24;BlackGabumon;Gabumon (Black);;
27;Dorumon;DORUmon;;
28;Veemon;V-mon;;
29;SnowAgumon;YukiAgumon;;
30;BlackAgumon;Agumon (Black);;
36;Biyomon;Piyomon;;
45;BlackGatomon;BlackTailmon;;
53;Growlmon;Growmon;;
55;Growlmon (Orange);Growmon (Orange);;
56;Gatomon;Tailmon;;
58;BlackGrowlmon;BlackGrowmon;;
61;BlackGarurumon;Garurumon (Black);;
67;Birdramon;Birdramon;;
68;Sukamon;Scumon;;
69;Vegiemon;Vegimon;;
81;Myotismon;Vamdemon;;
83;MagnaAngemon;HolyAngemon;;
88;B-WarGrowlmon;MegaloGrowmon (Black);;
92;B-WereGarurumon;WereGarurumon (Black);;
95;WarGrowlmon (Orange);MegaloGrowmon (Orange);;
99;MegaKabuterimon;AtlurKabuterimon;;
102;MarineAngemon;MarinAngemon;;
105;Beelzemon;Beelzebumon;;
108;Daemon;Demon;;
121;Gallantmon;Dukemon;;
123;ChaosGallantmon;ChaosDukemon;;
131;ZeedGarurumon;Z'dGarurumon;;
138;HerculesKabuterimon;HerakleKabuterimon;;
139;Phoenixmon;Hououmon;;
167;Gallantmon X;Dukemon X;;
168;Lillymon;Lilimon;;
170;Salamon;Plotmon;;
171;Salamon X;Plotmon X;;
172;Tyrannomon;Tyranomon;;
173;MetalTyrannomon;MetalTyranomon;;
174;ExVeemon;XV-mon;;
175;Dexmon;Death-X-mon;;
179;Frigimon;Yukidarumon;;
181;Centarumon;Centalmon;;
185;ShogunGekomon;TonosamaGekomon;;
186;Wizardmon;Wizarmon;;
187;Deramon;Delumon;;
188;Cherrymon;Jyureimon;;
189;Garbagemon;Gerbemon;;
192;RustTyrannomon;RustTyranomon;;
194;Machinedramon;Mugendramon;;
196;Motimon;Mochimon;;
202;Ogremon;Orgemon;;
204;Dorugamon;DORUgamon;;
205;Veedramon;V-dramon;;
208;AeroVeedramon;AeroV-dramon;;
211;GrapLeomon;GrappuLeomon;;
214;SkullMeramon;DeathMeramon;;
215;DoruGreymon;DORUguremon;;
217;IceLeomon;Panjyamon;;
218;Piximon;Piccolomon;;
223;MasterTyrannomon;MasterTyranomon;;
225;UlforceVeedramon;UlforceV-dramon;;
226;UlforceVeedramon X;UlforceV-dramon X;;
229;Ophanimon;Ofanimon;;
231;GrandKuwagamon;GranKuwagamon;;
234;Hi-Andromon;HiAndromon;;
235;Piedmon;Piemon;;
236;Puppetmon;Pinochimon;;
238;Beelzemon X;Beelzebumon X;;
245;Tsunomon;Tunomon;;
