index;original;replace;excludeTerms;excludePaths
1;Cog Crusher;Darkness Gear;;
2;Flame Bomber;Bonfire;;
3;Cheese Bomb;Cheese Bomb;;
4;Bad Message;Bad Message;;
5;Pepper Breath;Baby Flame;;
6;Armored Arrow;Pointer Arrow;;
7;Horn Blaster;Holy Shot;;
8;Rolling Upper;Rolling Upper;;
9;Seed Blast;Nuts Shoot;;
10;Bada Boom;Night of Fire;;
11;Fireball;Fire Ball;;
12;Boom Bubble;Air Shot;;
13;Demi Darts;Pico Darts;;
14;Blue Blaster;Petit Fire;;
15;Colorful Spark;Colorful Spark;;
16;Goburi Strike;Goburi Strike;;
17;Metal Cannon;Metal Cannon;;
18;Vee Headbutt;V-mon Head;;
19;Frozen Wind;Little Blizzard;;
20;Pepper Breath;Baby Flame;;
21;Blue Blaster;Petit Fire;;
22;Special Move 22;Special Move 22;;
23;Shiny Ring;Shiny Ring;;
24;Special Move 24;Special Move 24;;
25;Super Shocker;Petit Thunder;;
26;Spiral Twister;Magical Fire;;
27;Burning Fist;Burning Fist;;
28;Spinning Needle;Spinning Needle;;
29;Howling Blaster;Fox Fire;;
30;Evil Charm;Death Charm;;
31;Special Move 31;Special Move 31;;
32;Special Move 32;Special Move 32;;
33;Special Move 33;Special Move 33;;
34;Special Move 34;Special Move 34;;
35;Lightning Paw;Neko Punch;;
36;Special Move 36;Special Move 36;;
37;Nova Blast;Mega Flame;;
38;Sunshine Beam;Sunshine Beam;;
39;Spiral Blow;Spiral Blow;;
40;Nume-Sludge;Poop Throw;;
41;Fist of the Beast King;Fist of the Beast King;;
42;Special Move 42;Special Move 42;;
43;Pyro Blaster;Exhaust Flame;;
44;Hand of Fate;Heaven's Knuckle;;
45;Pyro Blaster;Exhaust Flame;;
46;Lightning Paw;Neko Punch;;
47;Touch of Evil;Death Claw;;
48;Pyro Blaster;Exhaust Flame;;
49;Frozen Claw;Frost Claw;;
50;Special Move 50;Special Move 50;;
51;Howling Blaster;Fox Fire;;
52;Chaos Fire;Chaos Fire;;
53;Hyper Smell;Hyper Smell;;
54;Special Move 54;Special Move 54;;
55;Special Move 55;Special Move 55;;
56;Electro Shocker;Mega Blaster;;
57;Meteor Wing;Meteor Wing;;
58;Party Time;Poop Throw;;
59;Party Time;Poop Throw;;
60;Nova Blast;Mega Flame;;
61;Special Move 61;Special Move 61;;
62;Ultimate Sacrifice;Dead or Alive;;
63;Special Move 63;Special Move 63;;
64;Hearts Attack;Lovely Attack;;
65;Rising Destroyer;Rising Destroyer;;
66;Lila Shower;Lila Shower;;
67;Winning Knuckle;Winning Knuckle;;
68;Special Move 68;Special Move 68;;
69;Special Move 69;Special Move 69;;
70;Special Move 70;Special Move 70;;
71;Grisly Wing;Night Raid;;
72;Spiking Strike;Spiking Finish;;
73;Gate of Destiny;Heaven's Gate;;
74;Darkness Wave;Darkness Wave;;
75;Lightning Javelin;Thunder Javelin;;
76;Special Move 76;Special Move 76;;
77;Atomic Blaster;Atomic Blaster;;
78;Atomic Blaster;Atomic Blaster;;
79;Wolf Claw;Kaiser Nail;;
80;Celestial Arrow;Holy Arrow;;
81;Ice Phantom;Ice Phantom;;
82;Wolf Claw;Kaiser Nail;;
83;Special Move 83;Special Move 83;;
84;Special Move 84;Special Move 84;;
85;Atomic Blaster;Atomic Blaster;;
86;Special Move 86;Special Move 86;;
87;Dark Side Attack;Genocide Attack;;
88;Giga Blaster;Giga Destroyer;;
89;Horn Buster;Horn Buster;;
90;Wing Blade;Shadow Wing;;
91;Concert Crush;Love Serenade;;
92;Kahuna Waves;Ocean Love;;
93;Terra Force;Gaia Force;;
94;Phantom Pain;Phantom Pain;;
95;Double Impact;Double Impact;;
96;Pandemonium Lost;Pandemonium Lost;;
97;Special Move 97;Special Move 97;;
98;Special Move 98;Special Move 98;;
99;Special Move 99;Special Move 99;;
100;Dark Prominence;Dark Prominence;;
101;Dark Roar;Dark Roar;;
102;Lion Slash;Shishiraouzan;;
103;Thorn Whip;Thorn Whip;;
104;Excrement;Platinum Excrement;;
105;Special Move 105;Special Move 105;;
106;Supreme Cannon;Garuru Cannon;;
107;Glorious Burst;Glorious Burst;;
108;Full Moon Blaster;Full Moon Blaster;;
109;Special Move 109;Special Move 109;;
110;Poseidon Force;Poseidon Force;;
111;Lightning Joust;Royal Saber;;
112;Metal Wolf Claw;Cocytus Breath;;
113;Demon's Disaster;Demons Disaster;;
114;Terra Destroyer;Dark Gaia Force;;
115;Metal Wolf Claw;Cocytus Breath;;
116;Special Move 116;Special Move 116;;
117;Special Move 117;Special Move 117;;
118;Special Move 118;Special Move 118;;
119;Special Move 119;Special Move 119;;
120;Special Move 120;Special Move 120;;
121;Full Metal Breath;Full Metal Blaze;;
122;Trident Gaia;Trident Gaia;;
123;Special Move 123;Special Move 123;;
124;Special Move 124;Special Move 124;;
125;Special Move 125;Special Move 125;;
126;Pendragon's Glory;Pendragon's Glory;;
127;Special Move 127;Special Move 127;;
128;Giga Blaster;Giga Blaster;;
129;Starlight Explosion;Starlight Explosion;;
130;Banana Slip;Banana Slip;;
131;Strike of the Seven Stars;Seven Heavens;;
132;Giga Blaster;Giga Destroyer;;
133;Darkness Zone;Darkness Zone;;
134;Boss Childhood Frame;Boss Childhood Frame;;
135;Garbage Collection;Garbage Collection;;
136;Reduction;Reduction;;
137;Refactoring;Refactoring;;
138;Hades Force;Hades Force;;
139;Pepper Breath;Baby Flame;;
140;Destruction Grenade;Destruction Grenade;;
141;Thunder Blast;Spiral Sword;;
