index;original;replace;excludeTerms;excludePaths
0;Railroad Plains;Railroad Plains;;
1;Signpost Forest;Signpost Forest;;
2;Fluorescent Cave;Fluorescent Cave;;
3;Sunken Capital;Sunken Capital;;
4;Gravel Wasteland;Gravel Wasteland;;
5;Night Canyon;Night Canyon;;
6;Sewer Maze;Sewer Maze;;
7;Bonkeno Volcano;Bonkeno Volcano;;
8;Powdery Cliff;Powdery Cliff;;
9;Binary Castle;Binary Castle;;
10;Akiho Rindo;Akiho Rindo;;
11;Nikolai Petrov;Nikolai Petrov;;
12;Digitorin;Digitorin;;
13;Sashenka;Sashenka;;
14;<n4104>;<n4104>;;
15;Yuuya Kuga;Yuuya Kuga;;
16;Black;Black;;
17;Mirei Mikagura;Mirei Mikagura;;
18;Mirei's Partners;Mirei's Partners;;
19;Dr. Petrov;Dr. Petrov;;
20;Kenzou Kuga;Kenzou Kuga;;
21;Partner Digimon;Partner Digimon;;
22;File Island;File Island;;
23;Digital World;Digital World;;
24;Digimon;Digimon;;
25;Chrome Digizoid;Chrome Digizoid;;
26;X-Antibody;X-Antibody;;
27;Digivice;Digivice;;
28;GIGO Company;GIGO Company;;
29;Digital Monsters;Digital Monsters;;
30;Blackening Incident;Blackening Incident;;
31;Memorial Stela;Memorial Stela;;
32;Digitize;Digitize;;
33;Re:Digitize;Re:Digitize;;
34;Digitower;Digitower;;
35;Digital Life Form;Digital Life Form;;
36;Garbage Data;Garbage Data;;
37;Colosseum;Colosseum;;
38;Digital Divide;Digital Divide;;
39;GIGO HQ;GIGO HQ;;
40;GIGO;GIGO;;
41;Dimensional Distortion;Dimensional Distortion;;
42;Ancient Bone Swamp;Ancient Bone Swamp;;
43;Vitium;Vitium;;
44;Tamer;Tamer;;
45;LIFE;LIFE;;
46;Special;Special;;
47;Attribute;Attribute;;
48;Nature;Nature;;
49;Emotions;Emotions;;
50;Weight;Weight;;
51;Digimon;Digimon;;
52;Active Hours;Active Hours;;
53;Happiness;Happiness;;
54;Discipline;Discipline;;
55;Poop;Poop;;
56;Digital Storage;Digital Storage;;
57;DigiMemory;DigiMemory;;
58;Brains;Brains;;
59;Speed;Speed;;
60;Care Mistakes;Care Mistakes;;
61;Training;Training;;
62;Warehouse;Warehouse;;
63;Restaurant;Restaurant;;
64;Item Shop;Item Shop;;
65;Training Gym;Training Gym;;
66;Angel Clinic;Angel Clinic;;
67;Treasure Hunting Shop;Treasure Hunting Shop;;
68;Secret Item Shop;Secret Item Shop;;
69;Card Collector;Card Collector;;
70;Birdra Transport;Birdra Transport;;
71;Accessory Shop;Accessory Shop;;
72;Taiga;Taiga;;
73;Dimensional Collapse;Dimensional Collapse;;
74;X-Program (temporary);X-Program (temporary);;
75;Mt. Infinity (temporary);Mt. Infinity (temporary);;
76;Mt. Infinity Anomaly (temporary);Mt. Infinity Anomaly (temporary);;
77;Train Garage;Train Garage;;
78;Cherry's Observatory;Cherry's Observatory;;
79;Whamon's Wharf;Whamon's Wharf;;
80;Big Cauldron Hall;Big Cauldron Hall;;
81;Rina Shinomiya;Rina Shinomiya;;
82;Lili;Lili;;
83;Sebastian;Sebastian;;
84;X-Program;X-Program;;
85;Infinity Mountain;Infinity Mountain;;
86;Yggdrasill;Yggdrasill;;
87;Machinedramon;Mugendramon;;
88;7 Great Demon Lords;7 Great Demon Lords;;
89;Dark Area;Dark Area;;
90;Digitter;Digitter;;
91;Decode Ability;Decode Ability;;
92;Larva Decoder;Larva Decoder;;
93;Parrot Carrier;Parrot Carrier;;
94;DoReMiFa Mansion;DoReMiFa Mansion;;
95;Master Bar;Master Bar;;
