index;original;replace;excludeTerms;excludePaths
1;Small HP Disc;Small HP Disc;;
2;Medium HP Disc;Medium HP Disc;;
3;Large HP Disc;Large HP Disc;;
4;Super HP Disc;Super HP Disc;;
5;MP Disc;MP Disc;;
6;Medium MP Disc;Medium MP Disc;;
7;Large MP Disc;Large MP Disc;;
8;Double Disc;Double Disc;;
9;Remedy Disc;Remedy Disc;;
10;Omnipotent Disc;Omnipotent Disc;;
11;Protection Disc;Protection Disc;;
12;Restore Disc;Restore Disc;;
13;Super Restore Disc;Super Restore Disc;;
14;Bandage;Bandage;;
15;Bandage DX;Bandage DX;;
16;Attack Plugin;Attack Plugin;;
17;Defense Plugin;Defense Plugin;;
18;Highspeed Plugin;Highspeed Plugin;;
19;Universal Plugin;Universal Plugin;;
20;Attack Plugin S;Attack Plugin S;;
21;Defense Plugin S;Defense Plugin S;;
22;Highspeed Plugin S;Highspeed Plugin S;;
23;Autopilot;Autopilot;;
24;Attack Chip;Attack Chip;;
25;Defense Chip;Defense Chip;;
26;Brains Chip;Brains Chip;;
27;Speed Chip;Speed Chip;;
28;HP Chip;HP Chip;;
29;MP Chip;MP Chip;;
30;Devil Chip A;Devil Chip A;;
31;Devil Chip D;Devil Chip D;;
32;Devil Chip E;Devil Chip E;;
33;Portable Potty;Portable Potty;;
34;Training Manual;Training Manual;;
35;Rest Pillow;Rest Pillow;;
36;Amulet Charm;Amulet Charm;;
37;Enemy Bell;Enemy Bell;;
38;Health Sandals;Health Sandals;;
39;Meat;Meat;;
40;Giant Meat;Giant Meat;;
41;Sirloin;Sirloin;;
42;Super Carrot;Super Carrot;;
43;Cherry Radish;Cherry Radish;;
44;Scratchy Grass;Scratchy Grass;;
45;Digimushroom;Digimushroom;;
46;Ice Mushroom;Ice Mushroom;;
47;Deluxe Mushroom;Deluxe Mushroom;;
48;Digipine;Digipine;;
49;Smiling Apple;Smiling Apple;;
50;Energy Lemon;Energy Lemon;;
51;Gold Acorn;Gold Acorn;;
52;Heavy Strawberry;Heavy Strawberry;;
53;Divine Chestnut;Divine Chestnut;;
54;Super Veggie;Super Veggie;;
55;Edible Cactus;Edible Cactus;;
56;Orange Banana;Orange Banana;;
57;Strength Fruit;Strength Fruit;;
58;Tough Fruit;Tough Fruit;;
59;Quick Fruit;Quick Fruit;;
60;Wisdom Fruit;Wisdom Fruit;;
61;Robust Fruit;Robust Fruit;;
62;Peace Fruit;Peace Fruit;;
63;Digianchovy;Digianchovy;;
64;Digisnapper;Digisnapper;;
65;Digitrout;Digitrout;;
66;Black Digitrout;Black Digitrout;;
67;Digicatfish;Digicatfish;;
68;Digiseabass;Digiseabass;;
69;Digimedaka;Digimedaka;;
70;Digigoldfish;Digigoldfish;;
71;Digicarp;Digicarp;;
72;Black Digicarp;Black Digicarp;;
73;Digibitterling;Digibitterling;;
74;Digisalmon;Digisalmon;;
75;Digiloach;Digiloach;;
76;Digieel;Digieel;;
77;Digiarowana;Digiarowana;;
78;Digipirarucu;Digipirarucu;;
79;Moldy Meat;Moldy Meat;;
80;Happy Mushroom;Happy Mushroom;;
81;Chain Melon;Chain Melon;;
84;Giant Starfish;Giant Starfish;;
85;Tiny Starfish;Tiny Starfish;;
86;Spiky Starfish;Spiky Starfish;;
87;Round Starfish;Round Starfish;;
88;Mellow Starfish;Mellow Starfish;;
89;Bony Starfish;Bony Starfish;;
90;Giant Ore;Giant Ore;;
91;Ordinary Pebble;Ordinary Pebble;;
92;Green Digimushroom;Green Digimushroom;;
93;Very Dirty Item;Very Dirty Item;;
94;RE Disc;RE Disc;;
100;Giant Claw;Giant Claw;;
101;Flame Shard;Flame Shard;;
102;Blazing Wings;Blazing Wings;;
103;Devilish Wings;Devilish Wings;;
104;Righteous Mane;Righteous Mane;;
105;Divine Clothes;Divine Clothes;;
106;Mythic Beast Wing;Mythic Beast Wing;;
107;Steel Helmet;Steel Helmet;;
108;Sea Serpent's Blood;Sea Serpent's Blood;;
109;Mythril Coat;Mythril Coat;;
110;Dreadful Horn;Dreadful Horn;;
111;Sun Seed;Sun Seed;;
112;Beast Glove;Beast Glove;;
113;Crimson Virus;Crimson Virus;;
114;Divine Catmint;Divine Catmint;;
115;Steel Body Armor;Steel Body Armor;;
116;Mythril Horn;Mythril Horn;;
117;Metal Parts;Metal Parts;;
118;Cyber Parts;Cyber Parts;;
119;Darkness Dragon's Destroyer Arm;Darkness Dragon's Destroyer Arm;;
120;Lovely Plushie;Lovely Plushie;;
121;King Banana;King Banana;;
122;Golden Holy Wings;Golden Holy Wings;;
123;Golden Armor;Golden Armor;;
124;Thunderblade Horn;Thunderblade Horn;;
125;Metal Banana;Metal Banana;;
126;Angel & Demon Wings;Angel & Demon Wings;;
127;Giant Revolver;Giant Revolver;;
128;Lilac Seed;Lilac Seed;;
129;Explosive Rapid Fists;Explosive Rapid Fists;;
130;Night Invitation;Night Invitation;;
131;Grand Silver Wings;Grand Silver Wings;;
132;Lady's Black Wings;Lady's Black Wings;;
133;Gigantic Twin Blade;Gigantic Twin Blade;;
134;Mythril Hand;Mythril Hand;;
135;Sacred Bow;Sacred Bow;;
136;Blue Flame;Blue Flame;;
137;King's Horn;King's Horn;;
138;Heavenly Wings;Heavenly Wings;;
139;Seabeast Horn;Seabeast Horn;;
140;Angelic Holy Water;Angelic Holy Water;;
141;Proof of Courage;Proof of Courage;;
142;Bewitching Hairpin;Bewitching Hairpin;;
143;Hell Pistol;Hell Pistol;;
144;Chaotic Soul;Chaotic Soul;;
145;Dark Matter;Dark Matter;;
146;Gakuran of Justice;Gakuran of Justice;;
147;Love & Beauty Gem;Love & Beauty Gem;;
148;Holy Knight Certificate;Holy Knight Certificate;;
149;Solar Wings;Solar Wings;;
150;Full Moon Claws;Full Moon Claws;;
151;Courage X-Antibody;Courage X-Antibody;;
152;Perfected Holy Spear;Perfected Holy Spear;;
153;Ice Metal;Ice Metal;;
154;Beast Canon;Beast Canon;;
155;Gigantic Crushing Sword;Gigantic Crushing Sword;;
156;Dragon Emperor's Giant Lance;Dragon Emperor's Giant Lance;;
157;Golden Angel Wings;Golden Angel Wings;;
158;Frozen Fur;Frozen Fur;;
159;Mysterious DigiCore;Mysterious DigiCore;;
160;Digital Ion Water;Digital Ion Water;;
161;Rigid Body Plugin;Rigid Body Plugin;;
162;Reinforced RE Disc;Reinforced RE Disc;;
163;Special Move Disc;Special Move Disc;;
164;Sedation Disc;Sedation Disc;;
165;Overdrive Plugin;Overdrive Plugin;;
166;Swiftness Plugin;Swiftness Plugin;;
167;Meat Lure;Meat Lure;;
168;Giant Meat Lure;Giant Meat Lure;;
169;Sirloin Lure;Sirloin Lure;;
172;Training Cola;Training Cola;;
173;Komorebi Tea;Komorebi Tea;;
174;Old Capital Tea;Old Capital Tea;;
175;Ancient Coffee;Ancient Coffee;;
176;Underground Tea;Underground Tea;;
177;Fluorescent Oolong Tea;Fluorescent Oolong Tea;;
178;Neon Drink;Neon Drink;;
179;Digital Soda;Digital Soda;;
180;Heartwarming Tea;Heartwarming Tea;;
181;Iced Juice;Iced Juice;;
182;File Soda;File Soda;;
183;Infinity Water;Infinity Water;;
184;Digisquid;Digisquid;;
185;Digituna;Digituna;;
186;Digicrab;Digicrab;;
187;Digiwhale;Digiwhale;;
188;Pygmy King Digianchovy;Pygmy King Digianchovy;;
189;Sovereign Lord Digisnapper;Sovereign Lord Digisnapper;;
190;Roe King Digitrout;Roe King Digitrout;;
191;Emperor Black Digitrout;Emperor Black Digitrout;;
192;Earth God Digicatfish;Earth God Digicatfish;;
193;Fish God Digiseabass;Fish God Digiseabass;;
194;Prince Digimedaka;Prince Digimedaka;;
195;Gold King Digigoldfish;Gold King Digigoldfish;;
196;Monarch Digicarp;Monarch Digicarp;;
197;Overlord Black Digicarp;Overlord Black Digicarp;;
198;Prodigious King Digibitterling;Prodigious King Digibitterling;;
199;Frost King Digisalmon;Frost King Digisalmon;;
200;Viking Digiloach;Viking Digiloach;;
201;Shrewd King Digieel;Shrewd King Digieel;;
202;Dragon King Digiarowana;Dragon King Digiarowana;;
203;Tyrant Digipirarucu;Tyrant Digipirarucu;;
204;Monarch Digisquid;Monarch Digisquid;;
205;Sea King Digituna;Sea King Digituna;;
206;Digi Crabking;Digi Crabking;;
207;Legendary Digiwhale;Legendary Digiwhale;;
209;Cactus Gloves;Cactus Gloves;;
210;Fairy Leaf Wings;Fairy Leaf Wings;;
211;Fossilized Nail;Fossilized Nail;;
212;Black Metal;Black Metal;;
213;Rusty Railgun;Rusty Railgun;;
216;Crimson X Antibody;Crimson X Antibody;;
217;Ultimate X Antibody;Ultimate X Antibody;;
218;Supreme X Antibody;Supreme X Antibody;;
219;Well Done Meat;Well Done Meat;;
223;Brave Dragon Wings;Brave Dragon Wings;;
224;Golden Armor of Miracles;Golden Armor of Miracles;;
225;Snowball;Snowball;;
226;DoReMiFa Mansion Trash Data;DoReMiFa Mansion Trash Data;;
227;Recovery Floppy;Recovery Floppy;;
228;Medium Recovery Floppy;Medium Recovery Floppy;;
229;Large Recovery Floppy;Large Recovery Floppy;;
230;Super Recovery Floppy;Super Recovery Floppy;;
231;MP Floppy;MP Floppy;;
232;Medium MP Floppy;Medium MP Floppy;;
233;Large MP Floppy;Large MP Floppy;;
234;Double Floppy;Double Floppy;;
235;Medical Floppy;Medical Floppy;;
236;RE Floppy;RE Floppy;;
237;Omnipotent Floppy;Omnipotent Floppy;;
238;Protection Floppy;Protection Floppy;;
239;Restore Floppy;Restore Floppy;;
240;Super Restore Floppy;Super Restore Floppy;;
241;Bandage;Bandage;;
242;Infinity Bandage;Infinity Bandage;;
243;Attack Memory;Attack Memory;;
244;Defense Memory;Defense Memory;;
245;Speed Memory;Speed Memory;;
246;Omnipotent Memory;Omnipotent Memory;;
247;Attack Memory (S);Attack Memory (S);;
248;Defense Memory (S);Defense Memory (S);;
249;Speed Memory (S);Speed Memory (S);;
250;Portable Potty;Portable Potty;;
251;Infinity Pilot;Infinity Pilot;;
252;3-Dimensional Fruit;3-Dimensional Fruit;;
253;6-Dimensional Fruit;6-Dimensional Fruit;;
254;12-Dimensional Fruit;12-Dimensional Fruit;;
255;24-Dimensional Fruit;24-Dimensional Fruit;;
256;Mega Meat;Mega Meat;;
257;Giga Meat;Giga Meat;;
258;Terra Meat;Terra Meat;;
259;Infinity Mushroom;Infinity Mushroom;;
260;Reinforced RE Floppy;Reinforced RE Floppy;;
261;Special Move Floppy;Special Move Floppy;;
262;Sedation Floppy;Sedation Floppy;;
263;Overdrive Memory;Overdrive Memory;;
264;Swiftness Memory;Swiftness Memory;;
265;Rigid Body Memory;Rigid Body Memory;;
266;Juicy Grass;Juicy Grass;;
272;Crimson Piece;Crimson Piece;;
273;Courage Piece;Courage Piece;;
274;Ultimate Piece;Ultimate Piece;;
275;Supreme Piece;Supreme Piece;;
277;Infinity Anchovy;Infinity Anchovy;;
278;Infinity Snapper;Infinity Snapper;;
279;Infinity Trout;Infinity Trout;;
280;Infinity Catfish;Infinity Catfish;;
281;Infinity Seabass;Infinity Seabass;;
282;Infinity Medaka;Infinity Medaka;;
283;Infinity Goldfish;Infinity Goldfish;;
284;Infinity Carp;Infinity Carp;;
285;Infinity Black Digitrout;Infinity Black Digitrout;;
286;Infinity Bitterling;Infinity Bitterling;;
287;Infinity Salmon;Infinity Salmon;;
288;Infinity Loach;Infinity Loach;;
289;Infinity Eel;Infinity Eel;;
290;Infinity Arowana;Infinity Arowana;;
291;Infinity Pirarucu;Infinity Pirarucu;;
292;Infinity Squid;Infinity Squid;;
293;Infinity Tuna;Infinity Tuna;;
294;Infinity Crab;Infinity Crab;;
295;Infinity Whale;Infinity Whale;;
296;Infinity Pygmy King Anchovy;Infinity Pygmy King Anchovy;;
297;Infinity Sovereign Lord Snapper;Infinity Sovereign Lord Snapper;;
298;Infinity Roe King Trout;Infinity Roe King Trout;;
299;Infinity Earth God Catfish;Infinity Earth God Catfish;;
300;Infinity Fish God Seabass;Infinity Fish God Seabass;;
301;Infinity Prince Medaka;Infinity Prince Medaka;;
302;Infinity Gold King Goldfish;Infinity Gold King Goldfish;;
303;Infinity Monarch Carp;Infinity Monarch Carp;;
304;Infinity Overlord Black Carp;Infinity Overlord Black Carp;;
305;Infinity Prodigious King Bitterling;Infinity Prodigious King Bitterling;;
306;Infinity Frost King Salmon;Infinity Frost King Salmon;;
307;Infinity Viking Loach;Infinity Viking Loach;;
308;Infinity Shrewd King Eel;Infinity Shrewd King Eel;;
309;Infinity Dragon King Arowana;Infinity Dragon King Arowana;;
310;Infinity Tyrant Pirarucu;Infinity Tyrant Pirarucu;;
311;Infinity Monarch Squid;Infinity Monarch Squid;;
312;Infinity Sea King Tuna;Infinity Sea King Tuna;;
313;Infinity Crab King;Infinity Crab King;;
