index;original;replace;excludeTerms;excludePaths
0;Digivice;Digivice;;
1;Mysterious HD-Data;Mysterious HD-Data;;
2;Garbage Data 00;Garbage Data 00;;
3;Garbage Data 01;Garbage Data 01;;
4;Garbage Data 02;Garbage Data 02;;
5;Garbage Data 03;Garbage Data 03;;
6;Garbage Data 04;Garbage Data 04;;
7;Garbage Data 05;Garbage Data 05;;
8;Garbage Data 06;Garbage Data 06;;
9;Garbage Data 07;Garbage Data 07;;
10;Garbage Data 08;Garbage Data 08;;
11;Garbage Data 09;Garbage Data 09;;
12;Garbage Data 10;Garbage Data 10;;
13;Garbage Data 11;Garbage Data 11;;
14;Garbage Data 12;Garbage Data 12;;
15;Ordinary Rod;Ordinary Rod;;
16;Amazing Rod;Amazing Rod;;
17;Worn Rod;Worn Rod;;
18;Buoyancy Program;Buoyancy Program;;
19;Sea Anemone;Sea Anemone;;
20;Night Flower Bud;Night Flower Bud;;
21;Luminescent Flower;Luminescent Flower;;
22;Shiny Pipe;Shiny Pipe;;
23;Frozen Flower;Frozen Flower;;
24;Red Propellant;Red Propellant;;
25;A Letter for Bancho;A Letter for Bancho;;
26;Storage Card α;Storage Card α;;
27;Storage Card β;Storage Card β;;
28;Storage Card γ;Storage Card γ;;
29;Storage Card Ω;Storage Card Ω;;
30;Storage Card Σ;Storage Card Σ;;
31;Dummy Garbage 01;Dummy Garbage 01;;
32;Dummy Garbage 02;Dummy Garbage 02;;
33;Dummy Garbage 03;Dummy Garbage 03;;
34;Gospel Structure;Gospel Structure;;
35;Blaze Program;Blaze Program;;
36;Stomach Medicine;Stomach Medicine;;
37;Headache Medicine;Headache Medicine;;
38;Cold Medicine;Cold Medicine;;
39;Anchor Data;Anchor Data;;
40;Rewrite Program;Rewrite Program;;
41;X-Reduction Field;X-Reduction Field;;
42;Dimensional Key Chain;Dimensional Key Chain;;
43;Dimensional Key Chain II;Dimensional Key Chain II;;
44;Incredibly Dirty Item;Incredibly Dirty Item;;
45;Snowball;Snowball;;
46;Kuwaga Autograph;Kuwaga Autograph;;
47;Glowing Spores;Glowing Spores;;
48;Giant Shell;Giant Shell;;
49;Janbari Firewood;Janbari Firewood;;
50;Digi Redwood;Digi Redwood;;
51;Digi Larch;Digi Larch;;
52;Digi Gum Tree;Digi Gum Tree;;
53;Ring Corner;Ring Corner;;
54;Ring Mat;Ring Mat;;
55;Ring Rope;Ring Rope;;
56;Building Blueprints;Building Blueprints;;
57;Crest of Courage;Crest of Courage;;
58;Crest of Friendship;Crest of Friendship;;
59;Crest of Love;Crest of Love;;
60;Crest of Knowledge;Crest of Knowledge;;
61;Crest of Reliability;Crest of Sincerity;;
62;Crest of Sincerity;Crest of Purity;;
63;Crest of Hope;Crest of Hope;;
64;Crest of Light;Crest of Light;;
65;Golden Digi-Egg;Golden Digimental;;
66;Bancho's Fighting Spirit;Bancho's Fighting Spirit;;
67;Training Bomb;Training Bomb;;
68;Trash Bag;Trash Bag;;
69;Evil Heart Fragment;Evil Heart Fragment;;
70;Evil Heart Fragment;Evil Heart Fragment;;
71;Evil Heart Fragment;Evil Heart Fragment;;
72;Evil Heart Fragment;Evil Heart Fragment;;
73;Vision Program;Vision Program;;
74;Light Fragment;Light Fragment;;
75;Ultimate Herbal Medicine;Ultimate Herbal Medicine;;
76;Red Potion Recipe;Red Potion Recipe;;
77;Red Potion Recipe;Red Potion Recipe;;
78;Red Potion Recipe;Red Potion Recipe;;
79;Red Potion Recipe;Red Potion Recipe;;
80;Red Potion Recipe;Red Potion Recipe;;
81;Blue Potion Recipe;Blue Potion Recipe;;
82;Blue Potion Recipe;Blue Potion Recipe;;
83;Blue Potion Recipe;Blue Potion Recipe;;
84;Blue Potion Recipe;Blue Potion Recipe;;
85;Blue Potion Recipe;Blue Potion Recipe;;
86;Green Potion Recipe;Green Potion Recipe;;
87;Green Potion Recipe;Green Potion Recipe;;
88;Green Potion Recipe;Green Potion Recipe;;
89;Green Potion Recipe;Green Potion Recipe;;
90;Green Potion Recipe;Green Potion Recipe;;
91;Pink Potion Recipe;Pink Potion Recipe;;
92;Pink Potion Recipe;Pink Potion Recipe;;
93;Pink Potion Recipe;Pink Potion Recipe;;
94;Pink Potion Recipe;Pink Potion Recipe;;
95;Pink Potion Recipe;Pink Potion Recipe;;
96;Ultimate Herbal Recipe;Ultimate Herbal Recipe;;
97;Ultimate Herbal Recipe;Ultimate Herbal Recipe;;
98;Ultimate Herbal Recipe;Ultimate Herbal Recipe;;
99;Ultimate Herbal Recipe;Ultimate Herbal Recipe;;
100;Ultimate Herbal Recipe;Ultimate Herbal Recipe;;
101;High-High Recipe;High-High Recipe;;
102;Spicy Flight Recipe;Spicy Flight Recipe;;
