index;original;replace;excludeTerms;excludePaths
1;Botamon;Botamon;;
2;Dodomon;Dodomon;;
3;Yuramon;Yuramon;;
4;Poyomon;Poyomon;;
5;Jyarimon;Jyarimon;;
6;Koromon;Koromon;;
7;Wanyamon;Wanyamon;;
8;Budmon;Budmon;;
9;Tokomon;Tokomon;;
10;Gigimon;Gigimon;;
11;Agumon;Agumon;;
12;Gaomon;Gaomon;;
13;Biyomon;Biyomon;;
14;Veemon;Veemon;;
15;Hagurumon;Hagurumon;;
16;Candlemon;Candlemon;;
17;Chuumon;Chuumon;;
18;Tsukaimon;Tsukaimon;;
19;Kamemon;Kamemon;;
20;Kudamon;Kudamon;;
21;Lalamon;Lalamon;;
22;Impmon;Impmon;;
23;Guilmon;Guilmon;;
24;Patamon;Patamon;;
25;DemiDevimon;DemiDevimon;;
26;BlackGabumon;BlackGabumon;;
27;Psychemon;Psychemon;;
28;Goburimon;Goburimon;;
29;SnowAgumon;SnowAgumon;;
30;BlackAgumon;BlackAgumon;;
31;Gabumon;Gabumon;;
32;Solarmon;Solarmon;;
33;Tentomon;Tentomon;;
34;Gomamon;Gomamon;;
35;Palmon;Palmon;;
36;Dorumon;Dorumon;;
37;Commandramon;Commandramon;;
38;Greymon;Greymon;;
39;Gaogamon;Gaogamon;;
40;Birdramon;Birdramon;;
41;ExVeemon;ExVeemon;;
42;Meramon;Meramon;;
43;Airdramon;Airdramon;;
44;Garurumon;Garurumon;;
45;Bakemon;Bakemon;;
46;BlackGatomon;BlackGatomon;;
47;GeoGreymon;GeoGreymon;;
48;Sunflowmon;Sunflowmon;;
49;Numemon;Numemon;;
50;Leomon;Leomon;;
51;Growlmon;Growlmon;;
52;Angemon;Angemon;;
53;Growlmon (Orange);Growlmon (Orange);;
54;Gatomon;Gatomon;;
55;Devimon;Devimon;;
56;BlackGrowlmon;BlackGrowlmon;;
57;IceDevimon;IceDevimon;;
58;BlackGarurumon;BlackGarurumon;;
59;Gururumon;Gururumon;;
60;Geremon;Geremon;;
61;Kabuterimon;Kabuterimon;;
62;Sukamon;Sukamon;;
63;Ikkakumon;Ikkakumon;;
64;Guardromon;Guardromon;;
65;Seadramon;Seadramon;;
66;Togemon;Togemon;;
67;Sealsdramon;Sealsdramon;;
68;MetalGreymon;MetalGreymon;;
69;MachGaogamon;MachGaogamon;;
70;Garudamon;Garudamon;;
71;Paildramon;Paildramon;;
72;MagnaAngemon;MagnaAngemon;;
73;LadyDevimon;LadyDevimon;;
74;Monzaemon;Monzaemon;;
75;RizeGreymon;RizeGreymon;;
76;Lilamon;Lilamon;;
77;Myotismon;Myotismon;;
78;MegaSeadramon;MegaSeadramon;;
79;WarGrowlmon;WarGrowlmon;;
80;BlackWarGrowlmon;BlackWarGrowlmon;;
81;WereGarurumon;WereGarurumon;;
82;Angewomon;Angewomon;;
83;BlueMeramon;BlueMeramon;;
84;BlackWereGarurumon;BlackWereGarurumon;;
85;WarGrowlmon (Orange);WarGrowlmon (Orange);;
86;MegaKabuterimon;MegaKabuterimon;;
87;Etemon;Etemon;;
88;Andromon;Andromon;;
89;Zudomon;Zudomon;;
90;MetalTyrannomon;MetalTyrannomon;;
91;Megadramon;Megadramon;;
92;MetalGreymon (Virus);MetalGreymon (Virus);;
93;Tankdramon;Tankdramon;;
94;WarGreymon;WarGreymon;;
95;MirageGaogamon;MirageGaogamon;;
96;Phoenixmon;Phoenixmon;;
97;BlackWarGreymon;BlackWarGreymon;;
98;ShineGreymon;ShineGreymon;;
99;VictoryGreymon;VictoryGreymon;;
100;MarineAngemon;MarineAngemon;;
101;Rosemon;Rosemon;;
102;PlatinumNumemon;PlatinumNumemon;;
103;BanchoLeomon;BanchoLeomon;;
