index;original;replace;excludeTerms;excludePaths
1002;Akiho;Akiho;;
1003;Niko;Niko;;
1004;Yuuya;Yuuya;;
1005;Mirei;Mirei;;
1006;Dr. Petrov;Dr. Petrov;;
1007;Lili;Lili;;
1008;Sebastian;Sebastian;;
1009;Male Child A;Male Child A;;
1010;Male Child B;Male Child B;;
1011;Female Child A;Female Child A;;
1012;Female Child B;Female Child B;;
1013;Male Student A;Male Student A;;
1014;Male Student B;Male Student B;;
1015;Female Student A;Female Student A;;
1016;Female Student B;Female Student B;;
1017;Man A;Man A;;
1018;Man B;Man B;;
1019;Woman A;Woman A;;
1020;Woman B;Woman B;;
1021;Salaryman A;Salaryman A;;
1022;Salaryman B;Salaryman B;;
1023;Lilimonzaemon;Lilimonzaemon;;
1024;Tai;Taichi;;
1025;Matt;Yamato;;
1026;Sora;Sora;;
1027;Davis;Daisuke;;
1028;Takato;Takato;;
1029;Iyoku, editor-in-chief;Iyoku, editor-in-chief;;
1030;Male Student C;Male Student C;;
1031;Female Student C;Female Student C;;
1032;Izzy Izumi;Koushiro Izumi;;
1033;Mimi Tachikawa;Mimi Tachikawa;;
1034;Joe Kido;Joe Kido;;
1035;Takeru Takaishi;Takeru Takaishi;;
1036;Kari Kamiya;Hikari Yagami;;
1037;Marcus Damon;Masaru Daimon;;
1055;Izzy Izumi;Kosuhiro Izumi;;
1056;Mimi Tachikawa;Mimi Tachikawa;;
1057;Joe Kido;Joe Kido;;
1058;Takeru Takaishi;Takeru Takaishi;;
1059;Kari Kamiya;Hikari Yagami;;
1060;Marcus Damon;Masaru Daimon;;
1062;Taiga;Taiga;;
1063;Rina;Rina;;
