index;original;replace;excludeTerms;excludePaths
1;Cog Crusher;Cog Crusher;;
2;Flame Bomber;Flame Bomber;;
3;Cheese Bomb;Cheese Bomb;;
4;Bad Message;Bad Message;;
5;Pepper Breath;Pepper Breath;;
6;Armored Arrow;Armored Arrow;;
7;Horn Blaster;Horn Blaster;;
8;Rolling Upper;Rolling Upper;;
9;Seed Blast;Seed Blast;;
10;Bada Boom;Bada Boom;;
11;Fireball;Fireball;;
12;Boom Bubble;Boom Bubble;;
13;Demi Darts;Demi Darts;;
14;Blue Blaster;Blue Blaster;;
15;Colorful Spark;Colorful Spark;;
16;Goburi Strike;Goburi Strike;;
17;Metal Cannon;Metal Cannon;;
18;Vee Headbutt;Vee Headbutt;;
19;Frozen Wind;Frozen Wind;;
20;Pepper Breath;Pepper Breath;;
21;Blue Blaster;Blue Blaster;;
22;Special Move 22;Special Move 22;;
23;Shiny Ring;Shiny Ring;;
24;Special Move 24;Special Move 24;;
25;Super Shocker;Super Shocker;;
26;Spiral Twister;Spiral Twister;;
27;Burning Fist;Burning Fist;;
28;Spinning Needle;Spinning Needle;;
29;Howling Blaster;Howling Blaster;;
30;Evil Charm;Evil Charm;;
31;Special Move 31;Special Move 31;;
32;Special Move 32;Special Move 32;;
33;Special Move 33;Special Move 33;;
34;Special Move 34;Special Move 34;;
35;Lightning Paw;Lightning Paw;;
36;Special Move 36;Special Move 36;;
37;Nova Blast;Nova Blast;;
38;Sunshine Beam;Sunshine Beam;;
39;Spiral Blow;Spiral Blow;;
40;Nume-Sludge;Nume-Sludge;;
41;Fist of the Beast King;Fist of the Beast King;;
42;Special Move 42;Special Move 42;;
43;Pyro Blaster;Pyro Blaster;;
44;Hand of Fate;Hand of Fate;;
45;Pyro Blaster;Pyro Blaster;;
46;Lightning Paw;Lightning Paw;;
47;Touch of Evil;Touch of Evil;;
48;Pyro Blaster;Pyro Blaster;;
49;Frozen Claw;Frozen Claw;;
50;Special Move 50;Special Move 50;;
51;Howling Blaster;Howling Blaster;;
52;Chaos Fire;Chaos Fire;;
53;Hyper Smell;Hyper Smell;;
54;Special Move 54;Special Move 54;;
55;Special Move 55;Special Move 55;;
56;Electro Shocker;Electro Shocker;;
57;Meteor Wing;Meteor Wing;;
58;Party Time;Party Time;;
59;Party Time;Party Time;;
60;Nova Blast;Nova Blast;;
61;Special Move 61;Special Move 61;;
62;Ultimate Sacrifice;Ultimate Sacrifice;;
63;Special Move 63;Special Move 63;;
64;Hearts Attack;Hearts Attack;;
65;Rising Destroyer;Rising Destroyer;;
66;Lila Shower;Lila Shower;;
67;Winning Knuckle;Winning Knuckle;;
68;Special Move 68;Special Move 68;;
69;Special Move 69;Special Move 69;;
70;Special Move 70;Special Move 70;;
71;Grisly Wing;Grisly Wing;;
72;Spiking Strike;Spiking Strike;;
73;Gate of Destiny;Gate of Destiny;;
74;Darkness Wave;Darkness Wave;;
75;Lightning Javelin;Lightning Javelin;;
76;Special Move 76;Special Move 76;;
77;Atomic Blaster;Atomic Blaster;;
78;Atomic Blaster;Atomic Blaster;;
79;Wolf Claw;Wolf Claw;;
80;Celestial Arrow;Celestial Arrow;;
81;Ice Phantom;Ice Phantom;;
82;Wolf Claw;Wolf Claw;;
83;Special Move 83;Special Move 83;;
84;Special Move 84;Special Move 84;;
85;Atomic Blaster;Atomic Blaster;;
86;Special Move 86;Special Move 86;;
87;Dark Side Attack;Dark Side Attack;;
88;Giga Blaster;Giga Blaster;;
89;Horn Buster;Horn Buster;;
90;Wing Blade;Wing Blade;;
91;Concert Crush;Concert Crush;;
92;Kahuna Waves;Kahuna Waves;;
93;Terra Force;Terra Force;;
94;Phantom Pain;Phantom Pain;;
95;Double Impact;Double Impact;;
96;Pandemonium Lost;Pandemonium Lost;;
97;Special Move 97;Special Move 97;;
98;Special Move 98;Special Move 98;;
99;Special Move 99;Special Move 99;;
100;Dark Prominence;Dark Prominence;;
101;Dark Roar;Dark Roar;;
102;Lion Slash;Lion Slash;;
103;Thorn Whip;Thorn Whip;;
104;Excrement;Excrement;;
105;Special Move 105;Special Move 105;;
106;Supreme Cannon;Supreme Cannon;;
107;Glorious Burst;Glorious Burst;;
108;Full Moon Blaster;Full Moon Blaster;;
109;Special Move 109;Special Move 109;;
110;Poseidon Force;Poseidon Force;;
111;Lightning Joust;Lightning Joust;;
112;Metal Wolf Claw;Metal Wolf Claw;;
113;Demon's Disaster;Demon's Disaster;;
114;Terra Destroyer;Terra Destroyer;;
115;Metal Wolf Claw;Metal Wolf Claw;;
116;Special Move 116;Special Move 116;;
117;Special Move 117;Special Move 117;;
118;Special Move 118;Special Move 118;;
119;Special Move 119;Special Move 119;;
120;Special Move 120;Special Move 120;;
121;Full Metal Breath;Full Metal Breath;;
122;Trident Gaia;Trident Gaia;;
123;Special Move 123;Special Move 123;;
124;Special Move 124;Special Move 124;;
125;Special Move 125;Special Move 125;;
126;Pendragon's Glory;Pendragon's Glory;;
127;Special Move 127;Special Move 127;;
128;Giga Blaster;Giga Blaster;;
129;Starlight Explosion;Starlight Explosion;;
130;Banana Slip;Banana Slip;;
131;Strike of the Seven Stars;Strike of the Seven Stars;;
132;Giga Blaster;Giga Blaster;;
133;Darkness Zone;Darkness Zone;;
134;Boss Childhood Frame;Boss Childhood Frame;;
