index;original;replace;excludeTerms;excludePaths
0;Throbbing Adaptability;Throbbing Adaptability;;
1;Jijimon's Gratitude;Jijimon's Gratitude;;
2;Bancho;Bancho;;
3;World Savior;World Savior;;
4;Water Walker;Water Walker;;
5;Forest Guide;Forest Guide;;
6;Eye for Detail;Eye for Detail;;
7;Bike Expert;Bike Expert;;
8;Hercules;Hercules;;
9;Kind Heart;Kind Heart;;
10;Lucky Duck;Lucky Duck;;
11;Time Guardian;Time Guardian;;
12;Ultimate;Ultimate;;
13;Ultimaster;Ultimaster;;
14;Agumon is ♥;Agumon is ♥;;
15;I ♥ DIGIMON;I ♥ DIGIMON;;
16;Dr. Digimon;Dr. Digimon;;
17;Transcended Grief;Transcended Grief;;
18;City Workhorse;City Workhorse;;
19;City Leader;City Leader;;
20;City Hero;City Hero;;
21;Tenacious Devil;Tenacious Devil;;
22;Strong Veteran;Strong Veteran;;
23;Eagle-Eye;Eagle-Eye;;
24;Perfect Win;Perfect Win;;
25;Challenger;Challenger;;
26;Nice Combo;Nice Combo;;
27;Timekeeper;Timekeeper;;
28;Friendship!;Friendship!;;
29;Colosseum Champion;Colosseum Champion;;
30;Gladiator;Gladiator;;
31;Leave it to me!;Leave it to me!;;
32;I ♥ QUESTS;I ♥ QUESTS;;
33;Local Gamer;Local Gamer;;
34;Card Mania;Card Mania;;
35;Rookie Collector;Rookie Collector;;
36;Advanced Collector;Advanced Collector;;
37;Professional Collector;Professional Collector;;
38;Royal Collector;Royal Collector;;
39;File Island Collector;File Island Collector;;
40;Fire Master;Fire Master;;
41;Ice Master;Ice Master;;
42;Air Master;Air Master;;
43;Nature Master;Nature Master;;
44;Combat Master;Combat Master;;
45;L&D Master;L&D Master;;
46;Machine Master;Machine Master;;
47;Filth Master;Filth Master;;
48;Master of all Skills;Master of all Skills;;
49;One Pointer;One Pointer;;
50;Digimon Stylist;Digimon Stylist;;
51;I ♥ ACCESORIES;I ♥ ACCESORIES;;
52;Information Collector;Information Collector;;
53;Many Friends;Many Friends;;
54;Walking Dictionary;Walking Dictionary;;
55;Full Potential;Full Potential;;
56;Digital Merchant;Digital Merchant;;
57;Cyberspace Resident;Cyberspace Resident;;
58;Novice Fisherman;Novice Fisherman;;
59;Hooked on Fishing;Hooked on Fishing;;
60;Fish Master;Fish Master;;
61;Strongest;Strongest;;
62;X-Evolution;X-Evolution;;
63;Tyranno-Mania;Tyrano-Mania;;
64;Tweet-Mania;Tweet-Mania;;
65;Kuwagamon's Disciple;Kuwagamon's Disciple;;
66;Meat Field Firefighter;Meat Field Firefighter;;
67;Local Drinks Mania;Local Drinks Mania;;
68;DoReMiFa Manager;DoReMiFa Manager;;
69;Carpenter Assistant;Carpenter Assistant;;
70;Marvelous Manager;Marvelous Manager;;
71;World's No.1 Manager;World's No.1 Manager;;
72;Garbage Collector;Garbage Collector;;
73;Marathon Runner;Marathon Runner;;
74;Saving Freak;Saving Freak;;
75;Crown Hunter;Crown Hunter;;
76;I ♥ MEAT;I ♥ MEAT;;
77;Gourmet;Gourmet;;
78;Treasure Mania;Treasure Mania;;
79;Frequent flier;Frequent flier;;
80;Fond of Divination;Fond of Divination;;
81;Magical Experiments;Magical Experiments;;
82;Garbage Fisher;Garbage Fisher;;
83;Hide-and-seek Freak;Hide-and-seek Freak;;
84;Bodyguard-Mania;Bodyguard-Mania;;
85;Awakening the Giant;Awakening the Giant;;
86;Universe Whisperer;Universe Whisperer;;
87;Bearer of the Aptitude;Bearer of the Aptitude;;
88;Time Traveller;Time Traveller;;
89;Tenkaichi Champion;Tenkaichi Champion;;
90;Bounty Hunter;Bounty Hunter;;
91;Killing Machine;Killing Machine;;
92;Invincible;Invincible;;
93;Frigiman;Frigiman;;
94;Grown-up;Grown-up;;
95;Abyss Returnee;Abyss Returnee;;
96;Infinity Conqueror;Infinity Conqueror;;
97;World Challenger;World Challenger;;
98;Legendary Hiro;Legendary Hiro;;
99;Re:Digitize;Re:Digitize;;
