index;original;replace;excludeTerms;excludePaths
1;Fire Breath;Fire Breath;;
2;Fire Tower;Fire Tower;;
3;Fire Wall;Fire Wall;;
4;Mine;Mine;;
5;Spread Bomb;Spread Bomb;;
6;Magma Bomb;Magma Bomb;;
7;Flame Storm;Flame Storm;;
8;Bubble Breath;Bubble Breath;;
9;Hailstone;Hailstone;;
10;Splash;Splash;;
11;Waterfall;Waterfall;;
12;Heavy Rain;Heavy Rain;;
13;Ice Statue;Ice Statue;;
14;Aurora Freeze;Aurora Freeze;;
15;Electric Shoot;Electric Shoot;;
16;Wind Shoes;Wind Shoes;;
17;Air Cutter;Air Cutter;;
18;Electric Cloud;Electric Cloud;;
19;Thunderstorm;Thunderstorm;;
20;Confuse Storm;Confuse Storm;;
21;Hurricane;Hurricane;;
22;Poison Powder;Poison Powder;;
23;Earth Coat;Earth Coat;;
24;Poison Circle;Poison Circle;;
25;Roots Bind;Roots Bind;;
26;Rock Fall;Rock Fall;;
27;Land Slide;Land Slide;;
28;Poison Storm;Poison Storm;;
29;Sonic Jab;Sonic Jab;;
30;Muscle Charge;Muscle Charge;;
31;Spin Attack;Spin Attack;;
32;Heavy Impact;Heavy Impact;;
33;War Cry;War Cry;;
34;Charge Attack;Charge Attack;;
35;Fighting Aura;Fighting Aura;;
36;Dark Spirit;Dark Spirit;;
37;Light Soul;Light Soul;;
38;Loose Cloud;Loose Cloud;;
39;Flash;Flash;;
40;Evil Squall;Evil Squall;;
41;Holy Sunshine;Holy Sunshine;;
42;Judgment;Judgment;;
43;Mechanical Claw;Mechanical Claw;;
44;Upgrade;Upgrade;;
45;Energy Ball;Energy Ball;;
46;Anti-Attack Field;Anti-Attack Field;;
47;Heavy Laser;Heavy Laser;;
48;Machine Fall;Machine Fall;;
49;DG Dimension V2;DG Dimension V2;;
50;Dirty Kick;Dirty Kick;;
51;Ultra Stink Spray;Ultra Stink Spray;;
52;Poop Trap;Poop Trap;;
53;Poop Barrier;Poop Barrier;;
54;Random Poop Toss;Random Poop Toss;;
55;Poop Fall;Poop Fall;;
56;Ultimate Poop Hell;Ultimate Poop Hell;;
57;Bubbles;Bubbles;;
58;Deadly Counter;Deadly Counter;;
59;Data Wave;Data Wave;;
60;Access Block;Access Block;;
61;Lossy Compression;Lossy Compression;;
